Arquivo;Status;Colunas faltantes;Colunas em excesso-nomes diferentes
cabecalho_padrao_escolas.csv;correto;;
escolas_2016.csv;incorreto;FX_ETARIA | NOMESCOF | DT_INI_CONV | DT_EXTINCAO | DRE;DTURNOS10 | T2D3D13 | T2D3D07 | T2D3D10 | T2D3D08 | DTURNOS13 | DTURNOS09 | T2D3D14 | DTURNOS15 | Ï»¿DRE | T2D3D | DTURNOS | T2D3D15 | T2D3D11 | T2D3D09 | DTURNOS07 | DTURNOS08 | T2D3D12 | DTURNOS11 | DTURNOS12 | DTURNOS14
escolas_2017.csv;incorreto;FX_ETARIA | DT_EXTINCAO | NOMESCOF | DT_INI_CONV;T2D3D16 | DTURNOS16 | DTURNOS10 | T2D3D13 | T2D3D07 | T2D3D10 | T2D3D08 | DTURNOS13 | DTURNOS09 | T2D3D14 | DTURNOS15 | T2D3D | DTURNOS | T2D3D15 | T2D3D11 | T2D3D09 | DTURNOS07 | DTURNOS08 | T2D3D12 | DTURNOS11 | DTURNOS12 | DTURNOS14
escolas_2018.csv;incorreto;DOM_CRIACAO | NOMESCOF | DT_EXTINCAO | CODCIE | DRE;CD_CIE | DOC_CRIACAO | Ï»¿DRE | DT_EXTINTAO
escolas_2019.csv;incorreto;DT_EXTINCAO | CODCIE | DRE | NOMESCOF;CD_CIE | Ï»¿DRE | DT_EXTINTAO
escolas_2020.csv;incorreto;CODCIE | DT_INI_FUNC | NOMESCOF;CD_CIE | NOMESCOFI
escolas_2021.csv;incorreto;CODCIE | DT_INI_FUNC | NOMESCOF | NOMESC;CD_CIE | NOMESCOFI | NOMES
escolas_2022.csv;incorreto;CODCIE | DT_INI_FUNC | NOMESCOF | NOMESC;CD_CIE | NOMESCOFI | NOMES
escolas_2023.csv;incorreto;NOMESC | REDE | NOMESCOF | DT_INI_FUNC | CODDIST | CODCIE;FX_ETARIA.1 | NOMES | DESLOC | CD_CIE | CDIST
resultado_comparacao_cabecalhos_escolas.csv;incorreto;DISTRITO | NOME_ANT | DIRETORIA | SUBPREF | SITUACAO | DT_INI_FUNC | BAIRRO | CODINEP | CODCIE | DRE | DOM_CRIACAO | REDE | CODDIST | FX_ETARIA | DT_CRIACAO | TIPOESC | FAX | DT_EXTINCAO | CEU | ATO_CRIACAO | NUMERO | LONGITUDE | NOMESCOF | CODESC | TEL2 | EH | SETOR | DATABASE | CEP | LATITUDE | TEL1 | DT_AUTORIZA | NOMESC | DT_INI_CONV | ENDERECO;COLUNAS FALTANTES | STATUS | COLUNAS EM EXCESSO-NOMES DIFERENTES | ARQUIVO
